Experiment Name,Far-off Memory Size (GB),Read Size,Mode,Elapsed Time (ms)
node_scale_4G_16M_read,4,16M,read,1649
node_scale_4G_64M_read,4,64M,read,6456
node_scale_4G_16M_write,4,16M,write,13075
node_scale_4G_32M_write,4,32M,write,25657
node_scale_4G_32M_read,4,32M,read,3665
configurable_pod_2_node_1G_1G_write,1,1G,write,277344
node_scale_4G_16M_read,4,16M,read,1507
direct_access_memory_without_fast_path_1G_1G_write,1,1G,write,55436
node_scale_4G_64M_read,4,64M,read,7216
node_scale_4G_64M_write,4,64M,write,54836
node_scale_4G_32M_read,4,32M,read,3074
direct_access_memory_without_fast_path_1G_1G_read,1,1G,read,11453
node_scale_4G_64M_write,4,64M,write,50869
node_scale_4G_64M_read,4,64M,read,6590
direct_access_memory_1G_1G_write,1,1G,write,5055
configurable_pod_4_node_1G_1G_read,1,1G,read,112544
configurable_pod_2_node_1G_1G_read,1,1G,read,41914
configurable_pod_4_node_1G_1G_read,1,1G,read,109566
configurable_pod_2_node_1G_1G_write,1,1G,write,280115
node_scale_4G_8M_read,4,8M,read,1062
direct_access_memory_without_fast_path_1G_1G_write,1,1G,write,53976
node_scale_4G_32M_write,4,32M,write,27257
node_scale_4G_32M_read,4,32M,read,3086
node_scale_4G_16M_read,4,16M,read,1781
node_scale_4G_8M_write,4,8M,write,6778
node_scale_4G_8M_read,4,8M,read,981
node_scale_4G_8M_write,4,8M,write,6474
node_scale_4G_8M_read,4,8M,read,1027
configurable_pod_2_node_1G_1G_read,1,1G,read,41456
direct_access_memory_without_fast_path_1G_1G_read,1,1G,read,11391
configurable_pod_2_node_1G_1G_write,1,1G,write,288597
node_scale_4G_32M_read,4,32M,read,3097
node_scale_4G_32M_read,4,32M,read,3175
configurable_pod_4_node_1G_1G_read,1,1G,read,105579
direct_access_memory_without_fast_path_1G_1G_read,1,1G,read,12502
configurable_pod_4_node_1G_1G_write,1,1G,write,885754
direct_access_memory_1G_1G_read,1,1G,read,5403
configurable_pod_4_node_1G_1G_write,1,1G,write,790093
configurable_pod_2_node_1G_1G_write,1,1G,write,289233
configurable_pod_4_node_1G_1G_write,1,1G,write,877052
node_scale_4G_8M_write,4,8M,write,7405
direct_access_memory_1G_1G_write,1,1G,write,5038
configurable_pod_4_node_1G_1G_write,1,1G,write,754691
direct_access_memory_without_fast_path_1G_1G_write,1,1G,write,45183
direct_access_memory_1G_1G_read,1,1G,read,5553
node_scale_4G_16M_read,4,16M,read,1701
configurable_pod_2_node_1G_1G_write,1,1G,write,284998
node_scale_4G_64M_read,4,64M,read,6136
node_scale_4G_32M_write,4,32M,write,26513
node_scale_4G_16M_read,4,16M,read,1701
node_scale_4G_64M_write,4,64M,write,45206
configurable_pod_2_node_1G_1G_read,1,1G,read,43819
configurable_pod_2_node_1G_1G_write,1,1G,write,292878
node_scale_4G_8M_write,4,8M,write,6873
configurable_pod_4_node_1G_1G_read,1,1G,read,107813
configurable_pod_4_node_1G_1G_write,1,1G,write,878462
configurable_pod_2_node_1G_1G_write,1,1G,write,279590
configurable_pod_2_node_1G_1G_read,1,1G,read,44146
configurable_pod_4_node_1G_1G_write,1,1G,write,878753
node_scale_4G_16M_write,4,16M,write,12374
node_scale_4G_16M_read,4,16M,read,1795
node_scale_4G_64M_write,4,64M,write,53771
node_scale_4G_16M_write,4,16M,write,13359
configurable_pod_4_node_1G_1G_write,1,1G,write,884234
direct_access_memory_without_fast_path_1G_1G_read,1,1G,read,11326
direct_access_memory_without_fast_path_1G_1G_read,1,1G,read,11243
direct_access_memory_without_fast_path_1G_1G_read,1,1G,read,11162
configurable_pod_4_node_1G_1G_read,1,1G,read,111818
node_scale_4G_8M_write,4,8M,write,6358
node_scale_4G_32M_write,4,32M,write,27335
direct_access_memory_1G_1G_write,1,1G,write,5305
node_scale_4G_64M_write,4,64M,write,47303
configurable_pod_4_node_1G_1G_read,1,1G,read,111088
node_scale_4G_16M_read,4,16M,read,1817
direct_access_memory_without_fast_path_1G_1G_write,1,1G,write,45649
direct_access_memory_without_fast_path_1G_1G_read,1,1G,read,12533
node_scale_4G_8M_write,4,8M,write,6413
node_scale_4G_64M_write,4,64M,write,55524
node_scale_4G_32M_write,4,32M,write,26447
configurable_pod_2_node_1G_1G_read,1,1G,read,40167
node_scale_4G_64M_read,4,64M,read,7127
direct_access_memory_without_fast_path_1G_1G_read,1,1G,read,12739
node_scale_4G_8M_read,4,8M,read,1055
node_scale_4G_32M_read,4,32M,read,3235
node_scale_4G_16M_write,4,16M,write,12130
node_scale_4G_16M_write,4,16M,write,13660
direct_access_memory_1G_1G_read,1,1G,read,5358
direct_access_memory_without_fast_path_1G_1G_write,1,1G,write,57368
node_scale_4G_32M_read,4,32M,read,3109
direct_access_memory_1G_1G_write,1,1G,write,5057
node_scale_4G_64M_read,4,64M,read,5835
configurable_pod_4_node_1G_1G_write,1,1G,write,820757
node_scale_4G_8M_read,4,8M,read,1035
node_scale_4G_32M_write,4,32M,write,24600
node_scale_4G_8M_read,4,8M,read,1008
direct_access_memory_1G_1G_write,1,1G,write,5267
direct_access_memory_without_fast_path_1G_1G_write,1,1G,write,46249
node_scale_4G_32M_write,4,32M,write,27101
configurable_pod_4_node_1G_1G_write,1,1G,write,846619
node_scale_4G_8M_write,4,8M,write,6767
direct_access_memory_1G_1G_read,1,1G,read,5379
configurable_pod_4_node_1G_1G_read,1,1G,read,110774
node_scale_4G_16M_write,4,16M,write,12256
node_scale_4G_8M_read,4,8M,read,1001
node_scale_4G_64M_write,4,64M,write,54956
node_scale_4G_64M_read,4,64M,read,6173
node_scale_4G_8M_read,4,8M,read,1075
direct_access_memory_1G_1G_read,1,1G,read,5372
direct_access_memory_1G_1G_read,1,1G,read,5702
node_scale_4G_8M_write,4,8M,write,6234
node_scale_4G_64M_read,4,64M,read,6453
node_scale_4G_16M_read,4,16M,read,1856
node_scale_4G_8M_read,4,8M,read,947
configurable_pod_2_node_1G_1G_write,1,1G,write,290927
node_scale_4G_32M_write,4,32M,write,25089
configurable_pod_4_node_1G_1G_read,1,1G,read,113998
node_scale_4G_64M_write,4,64M,write,54253
direct_access_memory_1G_1G_read,1,1G,read,5277
node_scale_4G_32M_read,4,32M,read,3540
node_scale_4G_32M_write,4,32M,write,27557
node_scale_4G_16M_write,4,16M,write,12098
node_scale_4G_64M_write,4,64M,write,53392
direct_access_memory_without_fast_path_1G_1G_read,1,1G,read,12025
direct_access_memory_1G_1G_read,1,1G,read,5587
node_scale_4G_16M_read,4,16M,read,1648
node_scale_4G_8M_write,4,8M,write,6499
node_scale_4G_8M_read,4,8M,read,927
node_scale_4G_16M_write,4,16M,write,12254
direct_access_memory_1G_1G_read,1,1G,read,5795
configurable_pod_2_node_1G_1G_write,1,1G,write,267568
direct_access_memory_1G_1G_write,1,1G,write,29817
configurable_pod_2_node_1G_1G_read,1,1G,read,41840
configurable_pod_2_node_1G_1G_read,1,1G,read,42660
node_scale_4G_32M_write,4,32M,write,25498
direct_access_memory_1G_1G_write,1,1G,write,5232
direct_access_memory_without_fast_path_1G_1G_write,1,1G,write,55825
configurable_pod_2_node_1G_1G_read,1,1G,read,43076
direct_access_memory_1G_1G_write,1,1G,write,5091
direct_access_memory_1G_1G_write,1,1G,write,4985
node_scale_4G_16M_read,4,16M,read,1734
configurable_pod_2_node_1G_1G_read,1,1G,read,43883
node_scale_4G_16M_write,4,16M,write,12245
node_scale_4G_64M_read,4,64M,read,6831
node_scale_4G_8M_write,4,8M,write,6449
direct_access_memory_without_fast_path_1G_1G_write,1,1G,write,55258
configurable_pod_2_node_1G_1G_write,1,1G,write,297292
node_scale_4G_64M_read,4,64M,read,6048
node_scale_4G_64M_write,4,64M,write,52313
direct_access_memory_without_fast_path_1G_1G_read,1,1G,read,11265
configurable_pod_4_node_1G_1G_read,1,1G,read,113824
direct_access_memory_without_fast_path_1G_1G_write,1,1G,write,53469
direct_access_memory_without_fast_path_1G_1G_write,1,1G,write,55588
direct_access_memory_1G_1G_read,1,1G,read,5636
node_scale_4G_32M_read,4,32M,read,3099
node_scale_4G_32M_read,4,32M,read,3292
configurable_pod_4_node_1G_1G_write,1,1G,write,862076
direct_access_memory_1G_1G_write,1,1G,write,4951
configurable_pod_2_node_1G_1G_read,1,1G,read,43984
configurable_pod_4_node_1G_1G_read,1,1G,read,103492
node_scale_4G_16M_write,4,16M,write,12953
